dimension,value,id
happiness,high,1628773760265342978
life satisfaction,high,1628773760265342978
positive functioning,high,1628773760265342978
balance in the various aspects of own life,high,1628773760265342978
belonging to society,medium,1628773760265342978
expressing gratitude,high,1628773760265342978
having hope,high,1628773760265342978
self-esteem,low,1626109667683323905
quality of relationships,low,1626109667683323905
happiness,low,1632901992971395077
life satisfaction,low,1632901992971395077
fear of future,high,1632901992971395077
expressing optimism,low,1632901992971395077
feeling trusted,low,1632901992971395077
happiness,high,1626301212483112961
expressing altruism,medium,1626301212483112961
fear of future,high,1630402477890707456
expressing trust,low,1630402477890707456
happiness,high,1628554929290739712
life satisfaction,high,1628554929290739712
positive functioning,high,1628554929290739712
balance in the various aspects of own life,high,1628554929290739712
depression,high,1632264965569560577
loneliness,high,1632264965569560577
happiness,high,1631258462519803907
positive functioning,high,1631258462519803907
expressing optimism,high,1631258462519803907
mastery (ability or capability),high,1631258462519803907
happiness,medium,1625983313398595584
life satisfaction,high,1625983313398595584
positive functioning,high,1625983313398595584
expressing gratitude,high,1625983313398595584
balance in the various aspects of own life,high,1625983313398595584
purpose in life,high,1631422902225588228
having hope,high,1631294082646528004
expressing optimism,medium,1631294082646528004
perceiving discrimination,low,1631294082646528004
happiness,high,1626474581811773441
positive functioning,high,1626474581811773441
peace with thoughts and feelings,medium,1626474581811773441
belonging to society,low,1626474581811773441
expressing gratitude,high,1626474581811773441
promoting good,high,1626474581811773441
having hope,high,1626474581811773441
expressing empathy,high,1626474581811773441
happiness,low,1628417470670184455
self-esteem,low,1628417470670184455
life satisfaction,low,1628417470670184455
expressing optimism,low,1628417470670184455
peace with thoughts and feelings,low,1628417470670184455
religious criticism,high,1628417470670184455
happiness,low,1632506387493277697
vitality,low,1632506387493277697
expressing optimism,low,1632506387493277697
balance in the various aspects of own life,low,1632506387493277697
happiness,high,1628787181215940608
self-esteem,high,1628787181215940608
positive functioning,high,1628787181215940608
expressing optimism,high,1628787181215940608
life satisfaction,medium,1628787181215940608
balance in the various aspects of own life,medium,1628787181215940608
expressing trust,medium,1631214626267631617
feeling trusted,high,1631214626267631617
purpose in life,high,1634171865244598272
belief in god,high,1634171865244598272
promoting good,high,1634171865244598272
happiness,high,1630151796168744961
life satisfaction,high,1630151796168744961
positive functioning,high,1630151796168744961
expressing optimism,high,1630151796168744961
purpose in life,high,1630151796168744961
belonging to society,medium,1630151796168744961
balance in the various aspects of own life,high,1630151796168744961
having hope,high,1630151796168744961
promoting good,high,1630151796168744961
expressing delayed gratification,medium,1630151796168744961
describing health limitations,low,1630151796168744961
happiness,low,1628943582450302977
resilience,medium,1628943582450302977
self-esteem,medium,1628943582450302977
life satisfaction,low,1628943582450302977
fear of future,high,1628943582450302977
vitality,low,1628943582450302977
having energy,low,1628943582450302977
positive functioning,low,1628943582450302977
expressing job satisfaction,low,1628943582450302977
expressing optimism,low,1628943582450302977
peace with thoughts and feelings,low,1628943582450302977
purpose in life,medium,1628943582450302977
depression,high,1628943582450302977
anxiety,high,1628943582450302977
happiness,high,1627822668673081345
positive functioning,high,1627822668673081345
expressing optimism,high,1627822668673081345
belonging to society,medium,1627822668673081345
feeling trusted,low,1627822668673081345
happiness,medium,1627340340846788609
life satisfaction,high,1627340340846788609
positive functioning,high,1627340340846788609
expressing optimism,high,1627340340846788609
peace with thoughts and feelings,medium,1627340340846788609
mastery (ability or capability),high,1627340340846788609
expressing trust,medium,1630645999202107393
balance in the various aspects of own life,high,1630645999202107393
mastery (ability or capability),high,1630645999202107393
