dimension,value,id
happiness,high,1628773760265342978
life satisfaction,high,1628773760265342978
positive functioning,high,1628773760265342978
expressing optimism,high,1628773760265342978
balance in the various aspects of own life,high,1628773760265342978
mastery (ability or capability),high,1628773760265342978
feeling loved by family,high,1628773760265342978
security for the time being,medium,1628773760265342978
having hope,high,1628773760265342978
feeling having a political voice,high,1628773760265342978
expressing government approval,medium,1628773760265342978
ptsd (post-traumatic stress disorder),low,1628773760265342978
describing health limitations,low,1628773760265342978
happiness,low,1626109667683323905
life satisfaction,low,1626109667683323905
vitality,low,1626109667683323905
having energy,low,1626109667683323905
positive functioning,low,1626109667683323905
depression,high,1626109667683323905
anxiety,high,1626109667683323905
suffering,high,1626109667683323905
quality of relationships,medium,1626109667683323905
expressing trust,low,1626109667683323905
financial or material worry,medium,1626109667683323905
expressing delayed gratification,low,1626109667683323905
expressing empathy,low,1626109667683323905
describing health limitations,medium,1626109667683323905
anxiety,medium,1632901992971395077
frustration,high,1632901992971395077
disappointment,medium,1632901992971395077
expressing criticism,high,1632901992971395077
perceiving discrimination,low,1632901992971395077
expressing government approval,low,1632901992971395077
feeling having a political voice,medium,1632901992971395077
expressing empathy,low,1632901992971395077
happiness,high,1626301212483112961
positive functioning,high,1626301212483112961
expressing gratitude,high,1626301212483112961
expressing altruism,medium,1626301212483112961
promoting good,high,1626301212483112961
expressing empathy,high,1626301212483112961
curiosity,high,1630402477890707456
skepticism,medium,1630402477890707456
perceiving discrimination,medium,1630402477890707456
expressing trust,low,1630402477890707456
feeling having a political voice,medium,1630402477890707456
expressing government approval,low,1630402477890707456
expressing empathy,low,1630402477890707456
life satisfaction,medium,1628554929290739712
happiness,medium,1628554929290739712
positive functioning,medium,1628554929290739712
mastery (ability or capability),high,1628554929290739712
balance in the various aspects of own life,medium,1628554929290739712
expressing delayed gratification,medium,1628554929290739712
promoting good,low,1628554929290739712
having hope,low,1628554929290739712
describing health limitations,low,1628554929290739712
happiness,low,1632264965569560577
life satisfaction,low,1632264965569560577
depression,high,1632264965569560577
suffering,high,1632264965569560577
loneliness,high,1632264965569560577
balance in the various aspects of own life,low,1632264965569560577
financial or material worry,medium,1632264965569560577
having hope,low,1632264965569560577
ptsd,medium,1632264965569560577
happiness,high,1631258462519803907
life satisfaction,high,1631258462519803907
positive functioning,high,1631258462519803907
expressing optimism,high,1631258462519803907
expressing gratitude,medium,1631258462519803907
quality of relationships,high,1631258462519803907
promoting good,high,1631258462519803907
life satisfaction,high,1625983313398595584
happiness,high,1625983313398595584
self-esteem,medium,1625983313398595584
belonging to society,high,1625983313398595584
quality of relationships,medium,1625983313398595584
financial or material worry,low,1625983313398595584
having hope,medium,1625983313398595584
expressing empathy,low,1625983313398595584
happiness,medium,1631422902225588228
resilience,high,1631422902225588228
self-esteem,high,1631422902225588228
life satisfaction,medium,1631422902225588228
positive functioning,high,1631422902225588228
expressing altruism,medium,1631422902225588228
quality of relationships,low,1631422902225588228
belonging to society,medium,1631422902225588228
expressing gratitude,low,1631422902225588228
mastery (ability or capability),high,1631422902225588228
having hope,high,1631422902225588228
promoting good,high,1631422902225588228
expressing empathy,low,1631422902225588228
anxiety,medium,1631294082646528004
fear of future,medium,1631294082646528004
optimism,low,1631294082646528004
expressing gratitude,low,1631294082646528004
perceiving discrimination,medium,1631294082646528004
spiritual punishment,medium,1631294082646528004
having hope,high,1631294082646528004
expressing delayed gratification,low,1631294082646528004
ptsd,low,1631294082646528004
expressing empathy,low,1631294082646528004
happiness,high,1626474581811773441
