dimension,value,id
 happiness ,high,1628773760265342978
 quality of relationships ,high,1628773760265342978
 feeling having a political voice ,high,1628773760265342978
self-esteem ,medium,1626109667683323905
 happiness ,low,1632901992971395077
self-esteem ,medium,1632901992971395077
 life satisfaction ,low,1632901992971395077
 fear of future ,high,1632901992971395077
 vitality ,low,1632901992971395077
 having energy ,low,1632901992971395077
 positive functioning ,low,1632901992971395077
 expressing optimism ,low,1632901992971395077
 depression ,high,1632901992971395077
 anxiety ,high,1632901992971395077
 feeling having a political voice ,high,1632901992971395077
 happiness ,high,1626301212483112961
 feeling having a political voice ,medium,1630402477890707456
 happiness ,high,1628554929290739712
resilience ,medium,1628554929290739712
self-esteem ,high,1628554929290739712
 life satisfaction ,high,1628554929290739712
 vitality ,high,1628554929290739712
 positive functioning ,high,1628554929290739712
 expressing optimism ,high,1628554929290739712
 peace with thoughts and feelings ,high,1628554929290739712
 depression ,high,1632264965569560577
 loneliness ,high,1632264965569560577
 expressing job satisfaction ,high,1631258462519803907
 capability) ,high,1631258462519803907
 life satisfaction ,medium,1625983313398595584
 balance in the various aspects of own life ,high,1625983313398595584
 feeling having a political voice ,high,1631422902225588228
 expressing optimism ,high,1631294082646528004
 expressing altruism ,high,1631294082646528004
 having hope ,high,1631294082646528004
 expressing empathy ,high,1631294082646528004
 happiness ,high,1626474581811773441
 happiness ,low,1628417470670184455
self-esteem ,low,1628417470670184455
 life satisfaction ,low,1628417470670184455
 expressing optimism ,low,1628417470670184455
 peace with thoughts and feelings ,low,1628417470670184455
 depression ,high,1628417470670184455
 anxiety ,high,1628417470670184455
suffering ,high,1628417470670184455
 quality of relationships ,low,1628417470670184455
 belonging to society ,low,1628417470670184455
 perceiving discrimination ,high,1628417470670184455
 having energy ,low,1632506387493277697
self-esteem ,high,1628787181215940608
 expressing optimism ,medium,1631214626267631617
 purpose in life ,medium,1634171865244598272
 feeling having a political voice ,low,1634171865244598272
 happiness ,high,1630151796168744961
 purpose in life ,high,1630151796168744961
 quality of relationships ,high,1630151796168744961
 having hope ,high,1630151796168744961
resilience ,medium,1628943582450302977
 positive functioning ,low,1628943582450302977
 expressing optimism ,low,1628943582450302977
 depression ,high,1628943582450302977
 anxiety ,high,1628943582450302977
suffering ,high,1628943582450302977
 balance in the various aspects of own life ,low,1628943582450302977
 belonging to society ,medium,1627822668673081345
 expressing optimism ,medium,1627340340846788609
 positive functioning ,high,1627340340846788609
 happiness ,low,1628678814610890752
 life satisfaction ,low,1628678814610890752
 fear of future ,high,1628678814610890752
 vitality ,low,1628678814610890752
 having energy ,low,1628678814610890752
 positive functioning ,low,1628678814610890752
 expressing optimism ,low,1628678814610890752
 peace with thoughts and feelings ,low,1628678814610890752
suffering ,high,1628678814610890752
 perceiving discrimination ,high,1628678814610890752
 expressing trust ,low,1630645999202107393
 happiness ,medium,1632355500657369088
 expressing altruism ,high,1628225423350824960
 charitable giving/helping ,high,1628225423350824960
 expressing empathy ,high,1628225423350824960
 happiness ,high,1629163904940097537
 having hope ,high,1629163904940097537
 happiness ,high,1629028559913197569
 life satisfaction ,high,1629028559913197569
 positive functioning ,high,1629028559913197569
 expressing optimism ,high,1629028559913197569
 peace with thoughts and feelings ,high,1629028559913197569
 charitable giving/helping ,medium,1629028559913197569
 expressing empathy ,high,1629028559913197569
 happiness ,high,1626785679026839553
 expressing altruism ,high,1626785679026839553
 promoting good ,high,1626785679026839553
 expressing trust ,high,1628211067292622848
 happiness ,high,1625800387914604544
 expressing optimism ,high,1625800387914604544
 having hope ,high,1625800387914604544
 happiness ,high,1631440103838187521
 belonging to society ,high,1631440103838187521
 purpose in life ,high,1626742474424340480
 balance in the various aspects of own life ,medium,1626742474424340480
 having hope ,high,1626742474424340480
 happiness ,medium,1631425391524220928
 life satisfaction ,high,1631425391524220928
 expressing empathy ,high,1631425391524220928
 balance in the various aspects of own life ,low,1631554560329412610
 expressing trust ,low,1631202132945674240
 feeling having a political voice ,medium,1631202132945674240
 happiness ,high,1627336301484580866
 expressing gratitude ,high,1627336301484580866
 happiness ,high,1632145964390576129
 expressing optimism ,high,1632145964390576129
 belonging to society ,high,1632145964390576129
 expressing gratitude ,high,1632145964390576129
 capability) ,low,1630634220010852352
 happiness ,high,1630548080788660224
 belonging to society ,medium,1630548080788660224
 promoting good ,medium,1630548080788660224
 happiness ,low,1628274899994255362
self-esteem ,low,1628274899994255362
 life satisfaction ,low,1628274899994255362
 fear of future ,medium,1628274899994255362
 vitality ,low,1628274899994255362
 having energy ,low,1628274899994255362
 positive functioning ,low,1628274899994255362
 expressing optimism ,low,1628274899994255362
 peace with thoughts and feelings ,low,1628274899994255362
 happiness ,high,1632967534814060545
 life satisfaction ,medium,1632967534814060545
 positive functioning ,high,1632967534814060545
 expressing optimism ,high,1632967534814060545
 balance in the various aspects of own life ,medium,1632967534814060545
 capability) ,high,1630909107422236677
 quality of relationships ,medium,1628476666463895554
 happiness ,high,1632974707741048832
 life satisfaction ,medium,1632974707741048832
 positive functioning ,high,1632974707741048832
 expressing optimism ,high,1632974707741048832
 purpose in life ,high,1632974707741048832
 having hope ,high,1632974707741048832
 promoting good ,high,1632974707741048832
self-esteem ,high,1626056637566926848
 happiness ,high,1632663613541416961
 positive functioning ,high,1632663613541416961
 expressing optimism ,high,1632663613541416961
 life satisfaction ,medium,1632663613541416961
 expressing empathy ,high,1632663613541416961
self-esteem ,high,1625961207482941440
self-esteem ,high,1628056969213771776
 expressing altruism ,medium,1628056969213771776
 having hope ,high,1628056969213771776
 expressing empathy ,high,1628056969213771776
 balance in the various aspects of own life ,medium,1631623434751860737
 feeling having a political voice ,medium,1629545401723265026
 happiness ,high,1629169683030245376
 expressing altruism ,medium,1629169683030245376
 having hope ,high,1629169683030245376
 perceiving discrimination ,high,1625832227027185666
 perceiving discrimination ,medium,1630640472547835929
 happiness ,high,1633056693620703233
 life satisfaction ,high,1633056693620703233
 positive functioning ,high,1633056693620703233
 expressing optimism ,high,1633056693620703233
 balance in the various aspects of own life ,high,1633056693620703233
 belonging to society ,medium,1633056693620703233
 financial/material worry ,low,1633056693620703233
self-esteem ,high,1626357006931054594
 positive functioning ,high,1626357006931054594
 capability) ,high,1626357006931054594
 promoting good ,high,1626357006931054594
 happiness ,medium,1626357006931054594
 life satisfaction ,high,1626357006931054594
 expressing optimism ,high,1626357006931054594
 balance in the various aspects of own life ,high,1626357006931054594
 having hope ,high,1626357006931054594
 describing health limitations ,medium,1626357006931054594
 expressing empathy ,high,1626357006931054594
suffering ,high,1632077818535321600
 quality of relationships ,medium,1632077818535321600
 expressing empathy ,high,1632077818535321600
 vitality ,medium,1627834897543856130
 expressing optimism ,high,1627834897543856130
 balance in the various aspects of own life ,medium,1627834897543856130
suffering ,high,1629378907488276480
 expressing trust ,high,1629378907488276480
 describing health limitations ,high,1629378907488276480
 perceiving discrimination ,high,1626148717668536320
 feeling having a political voice ,high,1626148717668536320
 happiness ,high,1627239225266520065
 expressing empathy ,medium,1627239225266520065
resilience ,high,1631088427385999360
 capability) ,high,1631088427385999360
 happiness ,high,1609395836475310080
 having hope ,high,1609395836475310080
 happiness ,medium,1629247616260390913
 happiness ,low,1626363420189642753
resilience ,low,1626363420189642753
 life satisfaction ,low,1626363420189642753
 fear of future ,high,1626363420189642753
 feeling having a political voice ,high,1626363420189642753
 happiness ,high,1629324992126103552
 promoting good ,high,1629324992126103552
 happiness ,high,1632428601487261697
 expressing optimism ,high,1626945710070325252
 expressing altruism ,medium,1626945710070325252
 feeling having a political voice ,high,1626945710070325252
 expressing optimism ,high,1632515501325705216
 feeling having a political voice ,high,1632515501325705216
 feeling having a political voice ,high,1632276612447367169
 happiness ,low,1627344870565183489
 life satisfaction ,low,1627344870565183489
 expressing optimism ,low,1627344870565183489
 positive functioning ,low,1627344870565183489
 feeling pain ,high,1627344870565183489
 quality of relationships ,low,1627344870565183489
 belonging to society ,low,1627344870565183489
 perceiving discrimination ,high,1627344870565183489
 having hope ,medium,1627344870565183489
 describing health limitations ,high,1627344870565183489
 expressing empathy ,high,1626489011580592130
 happiness ,high,1632163742690471938
 expressing gratitude ,high,1632163742690471938
 expressing trust ,low,1629839920339595267
 feeling having a political voice ,high,1629839920339595267
 happiness ,low,1631209106529812481
 life satisfaction ,low,1631209106529812481
 expressing optimism ,low,1631209106529812481
 belonging to society ,low,1631209106529812481
 happiness ,low,1631714058872459264
resilience ,medium,1631714058872459264
self-esteem ,medium,1631714058872459264
 life satisfaction ,low,1631714058872459264
 vitality ,low,1631714058872459264
 having energy ,low,1631714058872459264
 positive functioning ,low,1631714058872459264
 expressing optimism ,low,1631714058872459264
 peace with thoughts and feelings ,low,1631714058872459264
 depression ,medium,1631714058872459264
 anxiety ,medium,1631714058872459264
suffering ,high,1631714058872459264
 feeling pain ,high,1631714058872459264
 expressing trust ,medium,1631920719545380864
 happiness ,high,1632940510334578688
 expressing gratitude ,high,1632940510334578688
 quality of relationships ,low,1626309883468435458
 happiness ,high,1626379200688177152
 life satisfaction ,high,1626379200688177152
 vitality ,high,1626379200688177152
 positive functioning ,high,1626379200688177152
 expressing gratitude ,high,1626379200688177152
 belonging to society ,medium,1626379200688177152
 expressing empathy ,high,1626379200688177152
 happiness ,low,1631830090970546176
 life satisfaction ,low,1631830090970546176
 fear of future ,high,1631830090970546176
 positive functioning ,low,1631830090970546176
 expressing optimism ,low,1631830090970546176
 peace with thoughts and feelings ,low,1631830090970546176
 belonging to society ,low,1631830090970546176
self-esteem ,high,1632339233393324034
 quality of relationships ,high,1632339233393324034
 expressing empathy ,high,1632339233393324034
 perceiving discrimination ,medium,1625876384143769600
 feeling having a political voice ,high,1625876384143769600
 expressing optimism ,high,1629641423170461696
 expressing altruism ,medium,1629641423170461696
 feeling having a political voice ,high,1629641423170461696
 expressing empathy ,high,1631761901142040576
 quality of relationships ,medium,1631710320610746368
 happiness ,low,1625898371562057729
 life satisfaction ,low,1625898371562057729
 fear of future ,high,1625898371562057729
 vitality ,low,1625898371562057729
 positive functioning ,low,1625898371562057729
 expressing optimism ,low,1625898371562057729
 belonging to society ,low,1625898371562057729
 perceiving discrimination ,high,1625898371562057729
 financial/material worry ,high,1625898371562057729
 feeling having a political voice ,high,1625898371562057729
 fear of future ,high,1625847777644408833
 expressing altruism ,high,1625847777644408833
 financial/material worry ,high,1625847777644408833
 happiness ,high,1626536686967455744
 positive functioning ,high,1626536686967455744
