dimension,value,id
well-being,high,1628773760265342978
expressing empathy,medium,1628773760265342978
ptsd,high,1626109667683323905
describing health limitations,high,1626109667683323905
expressing empathy,medium,1626109667683323905
well-being,happiness,1628554929290739712
resilience,high,1628554929290739712
self-esteem,high,1628554929290739712
life satisfaction,high,1628554929290739712
positive functioning,high,1628554929290739712
expressing optimism,high,1628554929290739712
peace with thoughts and feelings,high,1628554929290739712
purpose in life,high,1628554929290739712
depression,low,1628554929290739712
anxiety,medium,1628554929290739712
suffering,low,1628554929290739712
feeling pain,low,1628554929290739712
well-being,high,1628554929290739712
capability),high,1628554929290739712
expressing gratitude,medium,1628554929290739712
feeling trusted,high,1628554929290739712
balance in the various aspects of own life,high,1628554929290739712
expressing trust,low,1628554929290739712
feeling loved by god,high,1628554929290739712
belief in god,high,1628554929290739712
spiritual punishment,low,1628554929290739712
feeling religious comfort,high,1628554929290739712
well-being dimensions,financialworry,1628554929290739712
expressing delayed gratification,high,1628554929290739712
happiness,medium,1628554929290739712
expressing empathy,high,1628554929290739712
feeling well-informed,high,1628554929290739712
focusing on productivity,medium,1628554929290739712
having a good work environment,high,1628554929290739712
having resources available to me,high,1628554929290739712
well-being,expressempathy,1625983313398595584
happiness,high,1625983313398595584
life satisfaction,high,1625983313398595584
well-being,high,1631294082646528004
expressing empathy,high,1631294082646528004
well-being,financial/or/materialworry,1632506387493277697
expressing delayed gratification,high,1632506387493277697
sleeping,high,1632506387493277697
health limitations,medium,1632506387493277697
ptsd (post-traumatic stress disorder),low,1632506387493277697
well-being,high,1634171865244598272
resilience,medium,1634171865244598272
anxiety,high,1634171865244598272
depression,high,1634171865244598272
self-esteem,high,1634171865244598272
expressing optimism,high,1628211067292622848
purpose in life,high,1628211067292622848
expressing trust,high,1628211067292622848
well-being,expressingempathy,1625800387914604544
well-being,[happiness,1631440103838187521
well-being,high,1631440103838187521
expressing gratitude,high,1631440103838187521
feeling loved by god,medium,1631440103838187521
belief in god,medium,1631440103838187521
feeling religious comfort,high,1631440103838187521
happiness,high,1631440103838187521
expressing delayed gratification,high,1631440103838187521
happiness,high,1631440103838187521
expressing empathy,high,1631440103838187521
well-being,balance,1626742474424340480
self-esteem,medium,1626742474424340480
life satisfaction,high,1626742474424340480
well-being,high,1631554560329412610
`resilience,high,1631554560329412610
`happiness,medium,1631554560329412610
`positive functioning,high,1631554560329412610
`expressing optimism,high,1631554560329412610
`expressing empathy,low,1631554560329412610
`suffering,high,1631554560329412610
feeling pain,high,1631554560329412610
describing health limitations,high,1631554560329412610
melting,high,1631554560329412610
expressing gratitude,high,1627336301484580866
well-being dimensions,medium,1627336301484580866
ptsd,high,1630634220010852352
describing_smoking_related_health_issues,medium,1630634220010852352
describing_drinking_related_health_issues,medium,1630634220010852352
expressing empathy,low,1630634220010852352
well-being,happiness,1630548080788660224
resilience,high,1630548080788660224
life satisfaction,high,1630548080788660224
positive functioning,high,1630548080788660224
expressing optimism,high,1630548080788660224
expressing empathy,low,1630548080788660224
suffering,high,1630548080788660224
feeling pain,high,1630548080788660224
well-being,expressingempathy,1630548080788660224
health limitations,medium,1630548080788660224
anxiety,high,1628274899994255362
expressing anger,high,1628274899994255362
well-being,high,1632967534814060545
well-being,high,1632967534814060545
balance in the various aspects of own life,high,1632967534814060545
well-being,high,1632967534814060545
well-being,high,1632967534814060545
expressing empathy,medium,1632967534814060545
well-being,expressingempathy,1628476666463895554
ptsd (post-traumatic stress disorder),medium,1628476666463895554
expressing empathy,high,1625961207482941440
well-being,high,1628056969213771776
expressing empathy,medium,1628056969213771776
well-being,happiness,1631623434751860737
resilience,high,1631623434751860737
self-esteem,medium,1631623434751860737
life satisfaction,high,1631623434751860737
positive functioning,high,1631623434751860737
expressing optimism,high,1631623434751860737
peace with thoughts and feelings,medium,1631623434751860737
purpose in life,high,1631623434751860737
depression,low,1631623434751860737
anxiety,medium,1631623434751860737
suffering,low,1631623434751860737
feeling pain,low,1631623434751860737
well-being,expressinggratitude,1631623434751860737
capability),medium,1631623434751860737
perceiving discrimination,low,1631623434751860737
feeling trusted,high,1631623434751860737
balance in the various aspects of own life,high,1631623434751860737
capability),high,1631623434751860737
expressing trust,high,1631623434751860737
feeling loved by god,high,1631623434751860737
belief in god,high,1631623434751860737
spiritual punishment,low,1631623434751860737
feeling religious comfort,high,1631623434751860737
well-being dimensions,financialworry,1631623434751860737
life after death belief,medium,1631623434751860737
feeling having a political voice,high,1631623434751860737
expressing government approval,high,1631623434751860737
having hope,high,1631623434751860737
promoting good,high,1631623434751860737
expressing delayed gratification,high,1631623434751860737
describing health limitations,high,1631623434751860737
expressing empathy,medium,1631623434751860737
well-being,resilience,1629545401723265026
vitality,medium,1629545401723265026
well-being,expressinggratitude,1629545401723265026
capability),high,1629545401723265026
perceiving discrimination,low,1629545401723265026
feeling trusted,medium,1629545401723265026
balance in the various aspects of own life,high,1629545401723265026
capability),high,1629545401723265026
expressing trust,medium,1629545401723265026
feeling loved by god,high,1629545401723265026
belief in god,high,1629545401723265026
spiritual punishment,low,1629545401723265026
feeling religious comfort,high,1629545401723265026
well-being,lifeafterdeathbelief,1629545401723265026
feeling having a political voice,medium,1629545401723265026
expressing government approval,low,1629545401723265026
having hope,high,1629545401723265026
promoting good,high,1629545401723265026
expressing delayed gratification,high,1629545401723265026
well-being,expressingempathy,1629545401723265026
pain,high,1629545401723265026
well-being,high,1629169683030245376
happiness,high,1629169683030245376
expressing optimism,high,1629169683030245376
positive functioning,high,1629169683030245376
life satisfaction,high,1629169683030245376
vitality,high,1629169683030245376
having energy,high,1629169683030245376
suffering,low,1629169683030245376
anxiety,medium,1629169683030245376
feeling pain,low,1629169683030245376
well-being,[happiness,1626357006931054594
life after death belief,high,1626357006931054594
volunteering,high,1626357006931054594
charitable giving/helping,medium,1626357006931054594
expressing government approval,low,1626357006931054594
having hope,high,1626357006931054594
promoting good,high,1626357006931054594
expressing delayed gratification,high,1626357006931054594
expressing empathy,high,1626357006931054594
well-being,happiness,1632077818535321600
resilience,high,1632077818535321600
self-esteem,high,1632077818535321600
life satisfaction,high,1632077818535321600
positive functioning,high,1632077818535321600
expressing optimism,high,1632077818535321600
peace with thoughts and feelings,medium,1632077818535321600
suffering,low,1632077818535321600
feeling pain,low,1632077818535321600
expressing empathy,high,1632077818535321600
well-being,happiness,1629324992126103552
expressing job satisfaction,high,1629324992126103552
positive functioning,high,1629324992126103552
vitality,high,1629324992126103552
having energy,high,1629324992126103552
express optimism,high,1629324992126103552
expressing empathy,medium,1629324992126103552
expressing understanding,medium,1629324992126103552
expressing gratitude,high,1629324992126103552
feeling pain,low,1629324992126103552
well-being,happiness,1629324992126103552
promoting good,high,1629324992126103552
well-being dimensions,happiness,1629324992126103552
positive self expression,high,1629324992126103552
life satisfaction,high,1629324992126103552
belonging to something,medium,1629324992126103552
having a good income,high,1629324992126103552
feeling financially stable,high,1629324992126103552
expressing empathy,high,1629324992126103552
well-being dimensions,expressingempathy,1632428601487261697
well-being,happiness,1627344870565183489
resilience,high,1627344870565183489
self-esteem,high,1627344870565183489
life satisfaction,high,1627344870565183489
positive functioning,high,1627344870565183489
expressing optimism,high,1627344870565183489
peace with thoughts and feelings,low,1627344870565183489
suffering,high,1627344870565183489
feeling pain,high,1627344870565183489
well-being dimensions,self-esteem,1627344870565183489
resilience,high,1627344870565183489
anxiety,medium,1627344870565183489
depression,medium,1627344870565183489
describing smoking related health issues,low,1627344870565183489
describing drinking related health issues,low,1627344870565183489
expressing empathy,high,1627344870565183489
expressing optimism,low,1626489011580592130
peace with thoughts and feelings,medium,1626489011580592130
feeling pain,high,1626489011580592130
describing health limitations,high,1626489011580592130
expressing empathy,high,1626489011580592130
expressing empathy,high,1632163742690471938
ptsd (post-traumatic stress disorder),high,1632163742690471938
well-being,happiness,1631209106529812481
resilience,medium,1631209106529812481
life satisfaction,high,1631209106529812481
positive functioning,high,1631209106529812481
expressing optimism,high,1631209106529812481
purpose in life,high,1631209106529812481
vitality,high,1631209106529812481
having energy,high,1631209106529812481
anxiety,medium,1631209106529812481
suffering,high,1631209106529812481
feeling pain,high,1631209106529812481
expressing empathy,high,1631209106529812481
expressing empathy,high,1631714058872459264
self-esteem,high,1632940510334578688
expressing empathy,high,1632940510334578688
describing health limitations,high,1626309883468435458
well-being,happiness,1626379200688177152
life satisfaction,high,1626379200688177152
positive functioning,high,1626379200688177152
expressing job satisfaction,high,1626379200688177152
expressing optimism,high,1626379200688177152
purpose in life,high,1626379200688177152
vitality,high,1626379200688177152
having energy,high,1626379200688177152
anxiety,medium,1626379200688177152
suffering,high,1626379200688177152
feeling pain,high],1626379200688177152
well-being,high,1626379200688177152
life after death belief,high,1626379200688177152
feeling having a political voice,medium,1626379200688177152
expressing government approval,high,1626379200688177152
having hope,high,1626379200688177152
promoting good,high,1626379200688177152
expressing delayed gratification,high,1626379200688177152
happiness,high,1626379200688177152
expressing empathy,high,1626379200688177152
well-being dimensions,medium,1626379200688177152
happiness,high,1632339233393324034
expressing optimism,high,1632339233393324034
positive functioning,high,1632339233393324034
expressing empathy,medium,1632339233393324034
expressing altruism,high,1632339233393324034
feeling pain,low,1632339233393324034
expressing gratitude,high,1632339233393324034
feeling loved by god,high,1632339233393324034
belief in god,high,1632339233393324034
spiritual punishment,low,1632339233393324034
expressing empathy,high,1632339233393324034
well-being,high,1631761901142040576
happiness,high,1631761901142040576
expressing optimism,high,1631761901142040576
positive functioning,high,1631761901142040576
life satisfaction,medium,1631761901142040576
fear of future,high,1631761901142040576
suffering,high,1631761901142040576
feeling pain,high,1631761901142040576
express empathy,high,1631761901142040576
high,,1631710320610746368
expressing empathy,high,1628812832178335745
well-being dimensions,['ptsd(post-traumaticstressdisorder),1627658946382123008
well-being,expressempathy,1626642283985801218
health limitations,high,1626642283985801218
well-being,expressingoptimism,1628877111804002304
having energy,high,1628877111804002304
positive functioning,high,1628877111804002304
expressing job satisfaction,medium,1628877111804002304
resilience,medium,1628877111804002304
anxiety,low,1628877111804002304
suffering,low,1628877111804002304
feeling pain,low,1628877111804002304
express empathy,high,1628877111804002304
dimensions,expressingempathy,1626529324558852097
hugging,high,1626529324558852097
well-being,high,1626529324558852097
well-being,expressingempathy,1634312215481204738
health limitations,high,1634312215481204738
dimensions,expressingempathy,1631214500157480965
ptsd (post-traumatic stress disorder),medium,1631214500157480965
well-being,high,1631599106392039424
expressing empathy,high,1631599106392039424
well-being,high,1632740036956377088
resilience,high,1632740036956377088
life satisfaction,medium,1632740036956377088
vitality,high,1632740036956377088
having energy,high,1632740036956377088
positive functioning,high,1632740036956377088
expressing optimism,high,1632740036956377088
peace with thoughts and feelings,medium,1632740036956377088
depression,low,1632740036956377088
